TRADEDATE,fac_TOPEN,fac_THIGH,fac_TLOW,fac_TCLOSE,TVOLUME
2001-05-23 00:00:00.000,905.5560,923.6671,895.6241,918.9932,7287200
2001-05-24 00:00:00.000,918.9932,926.0040,904.9717,908.4771,5770900
2001-05-25 00:00:00.000,908.4771,917.2406,901.4663,909.0613,2842400
2001-05-28 00:00:00.000,911.3983,935.9359,911.3983,926.5882,10988100
2001-05-29 00:00:00.000,926.5882,938.2728,926.0040,926.5882,7134600
2001-05-30 00:00:00.000,927.7567,956.3839,927.7567,952.2943,14419700
2001-05-31 00:00:00.000,955.2155,959.8893,944.6993,946.4520,6852700
2001-06-01 00:00:00.000,946.4520,969.8212,945.2836,952.2943,9691000
2001-06-04 00:00:00.000,953.4628,959.8893,935.9359,939.4413,5436400
2001-06-05 00:00:00.000,938.2728,945.8678,926.5882,929.5094,5255900
2001-06-06 00:00:00.000,929.5094,939.4413,926.0040,930.0936,4311300
2001-06-07 00:00:00.000,930.0936,934.7674,922.4986,925.4198,5299600
2001-06-08 00:00:00.000,924.8355,927.1725,906.1402,918.9932,3821700
2001-06-11 00:00:00.000,920.1617,923.0828,908.4771,909.0613,4137600
2001-06-12 00:00:00.000,909.0613,922.4986,905.5560,911.9825,3037100
2001-06-13 00:00:00.000,912.5667,936.5201,911.9825,928.9251,4123300
2001-06-14 00:00:00.000,934.7674,946.4520,917.2406,920.1617,6661400
2001-06-15 00:00:00.000,917.2406,928.9251,911.9825,922.4986,2963200
2001-06-18 00:00:00.000,922.4986,924.2513,895.0398,903.2190,4175500
2001-06-19 00:00:00.000,899.7137,904.9717,893.8714,901.4663,2986500
2001-06-20 00:00:00.000,902.6348,910.8140,886.2764,892.7029,4958000
2001-06-21 00:00:00.000,892.7029,900.2979,888.6133,896.2083,4431300
2001-06-22 00:00:00.000,898.5452,913.7352,888.0291,910.2298,3304500
2001-06-25 00:00:00.000,911.3983,923.0828,910.2298,917.2406,2909200
